Time,Curr Win %,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-05-05 00:00:00,0.4772727272727273,19023.0,Phoenix Suns,Minnesota Timberwolves,0.0,3.0,Wednesday,May,18773.0
1999-05-05 00:00:00,0.6304347826086957,23079.0,Chicago Bulls,Orlando Magic,0.0,3.0,Wednesday,May,22567.0
1999-05-05 00:00:00,0.5111111111111111,18624.0,Boston Celtics,Charlotte Hornets,0.0,3.0,Wednesday,May,16635.0
1999-05-08 00:00:00,0.7674418604651163,19911.0,Utah Jazz,Sacramento Kings,1.0,4.0,Saturday,May,19911.0
1999-05-08 00:00:00,0.6904761904761905,20735.0,Portland Trail Blazers,Phoenix Suns,1.0,2.0,Saturday,May,20040.0
1999-05-10 00:00:00,0.6976744186046512,20735.0,Portland Trail Blazers,Phoenix Suns,1.0,3.0,Monday,May,20588.0
1999-05-10 00:00:00,0.75,19911.0,Utah Jazz,Sacramento Kings,1.0,3.0,Monday,May,19911.0
1999-05-12 00:00:00,0.7045454545454546,19023.0,Phoenix Suns,Portland Trail Blazers,1.0,3.0,Wednesday,May,17306.0
1999-05-13 00:00:00,0.7234042553191491,19006.0,Minnesota Timberwolves,San Antonio Spurs,1.0,4.0,Thursday,May,17444.0
1999-05-13 00:00:00,0.5625,20930.0,Philadelphia 76ers,Orlando Magic,1.0,3.0,Thursday,May,20874.0
1999-05-15 00:00:00,0.7291666666666666,19006.0,Minnesota Timberwolves,San Antonio Spurs,1.0,4.0,Saturday,May,15898.0
1999-05-15 00:00:00,0.5714285714285714,20930.0,Philadelphia 76ers,Orlando Magic,1.0,4.0,Saturday,May,20550.0
1999-05-16 00:00:00,0.7446808510638298,19911.0,Utah Jazz,Sacramento Kings,1.0,3.0,Sunday,May,19911.0
