,$R^2$,Explained Variance Score,Mean Absolute Error,Root Mean Square Error,Mean Absolute Percent Error
Dataset 3 Subset 2 Elastic Net with Standardized Features,0.5475790240254268,0.5475901723087158,992.7642876500639,1346.1998255419915,5.858662196987658
Dataset 3 Subset 2 Huber,0.4348248892536106,0.45463671049203924,849.7944206311058,1504.6298652589842,5.3204345589137825
Dataset 3 Subset 2 Huber with Standardized Features,0.5364807210926312,0.541216377941303,904.0852062742092,1362.6115470354855,5.429860220959936
Dataset 3 Subset 2 LinearSVR,0.4819371620869618,0.48837035913213367,1028.293813887478,1440.5534733422028,6.182257440858412
Dataset 3 Subset 2 LinearSVR with Standardized Features,0.558566305786004,0.5586044556157573,988.1841923171205,1329.752769438977,5.788787431761996
Dataset 3 Subset 2 Ridge TimeSeriesSplit,0.4825728951149142,0.4881281557718946,1024.2470119856077,1439.669325241007,6.161809031753989
Dataset 3 Subset 2 Ridge with Standardized Features TimeSeriesSplit,0.5475790240254268,0.5475901723087158,992.7642876500639,1346.1998255419915,5.858662196987658
Dataset 3 Subset 2 Lasso TimeSeriesSplit,0.4826215773563237,0.48813243510305937,1024.2482566474048,1439.6015978475452,6.161926048729003
Dataset 3 Subset 2 Lasso with Standardized Features TimeSeriesSplit,0.5475790240254268,0.5475901723087158,992.7642876500639,1346.1998255419915,5.858662196987658
Dataset 3 Subset 2 Elastic Net TimeSeriesSplit,0.4348248892536106,0.45463671049203924,849.7944206311058,1504.6298652589842,5.3204345589137825
Dataset 3 Subset 2 Elastic Net with Standardized Features TimeSeriesSplit,0.5364807210926312,0.541216377941303,904.0852062742092,1362.6115470354855,5.429860220959936
Dataset 3 Subset 2 Huber TimeSeriesSplit,0.4819371620869617,0.4883703591321338,1028.2938138874788,1440.5534733422028,6.182257440858415
Dataset 3 Subset 2 Huber with Standardized Features TimeSeriesSplit,0.558566305786004,0.5586044556157573,988.1841923171205,1329.752769438977,5.788787431761996
Dataset 3 Subset 3 OLS,-365053298663109.2,-347096902424120.9,8481014225.3307705,38239860770.64623,49843042.573786825
Dataset 3 Subset 3 OLS with Standardized Features,-2.1057045434775296e+21,-2.005458892780855e+21,20038764132864.066,91841058590232.05,118741258065.14578
Dataset 3 Subset 3 Ridge,0.5302201512970287,0.5398692936703863,1021.0119535444845,1371.782807770844,5.958131475083292
Dataset 3 Subset 3 Ridge with Standardized Features,0.5318914979842204,0.5326442282361343,1004.7977477870365,1369.3404217115312,5.912475646079999
Dataset 3 Subset 3 Lasso,0.48257278777716894,0.4881280073404245,1024.2462810748711,1439.6694745672114,6.16180501877961
Dataset 3 Subset 3 Lasso with Standardized Features,0.532250875972347,0.5324217973459613,992.4573964569685,1368.8146832435793,5.877233884342165
Dataset 3 Subset 3 Elastic Net,0.4826215760150099,0.48813243324869326,1024.2482474402043,1439.601599713643,6.161925998152955
Dataset 3 Subset 3 Elastic Net with Standardized Features,0.532250875972347,0.5324217973459613,992.4573964569685,1368.8146832435793,5.877233884342165
Dataset 3 Subset 3 Huber,0.43161922448702483,0.4519973598949658,851.2130229493189,1508.890950634007,5.3294502487424245
